Question,Answer
What is the principal ingredient of the new American strategy towards Pakistan?,"The principal ingredient is that there will be no blank cheques and all future assistance to the country is dependent on Pakistan doing much much more, such as rooting out AlQaeda and the violent extremists within its borders."
What is the proposed creation of the Reconstruction Opportunity Zones (ROZs) and what is its intent?,"The ROZs would develop the economy of the border region and bring hope to places plagued by violence. However, it is a penetrative attempt on the part of the US policymakers to alienate Pakistan's border areas from the mainstream country and develop them as sanctuaries for initiating US hegemonic activities in the region."
"What is the US's discomfort with Pakistan's possession of nuclear weapons, and what is Pakistan's primary concern?",American leaders and think tanks have speculated devastatingly on the havoc that these weapons could cause if secured by the militants. Pakistan's primary concern is dealing with the devious and destructive militant mindset.
What are some problems faced by the people of Pakistan according to the paragraph?,"The people of Pakistan face poverty, environmental issues, lack of commitment from the government, uneven wealth distribution, and various other problems such as chaotic traffic and load shedding."
Who does the paragraph say can comment on certain issues?,"The paragraph suggests that only experts can comment on issues related to people they have never met, experiences they have never had, and sufferings they have never endured."
What does the author criticize about the government and leaders of Pakistan in the paragraph?,"The author criticizes the government and leaders of Pakistan for not being committed to their people, spending tax money on frivolous trips, and making the lives of their people unbearable with chaotic traffic, load shedding, and rising prices."
Who did Hillary Clinton visit during her first visit as Secretary of State?,"Hillary Clinton opted to visit Asian countries, including Japan, South Korea, and China, to strengthen relations with the two great giants of Asia."
How did China outwit the USA in relation to trade?,"China is now one of the leading exporters of goods to the USA, where Chinese products are abundant and at very cheap rates."
What was the comment by Richard Haass regarding the rise of China?,"The rise of China will undoubtedly be one of the greatest dramas of the 21st century. Some observers believe that the American Era is coming to an end, and the western-oriented world is replaced by one increasingly dominated by the East."
What is the Contact Group assigned with in President Obama's AfPak strategy?,The Contact Group has been assigned to deal with terrorism with its epicentre in Pakistan.
What are the sources of power competing with each other in the region according to the paragraph?,"The Centres of Power are The Islamic Resistance, The ISI Syndrome, and The Shia Crescent."
Why is it claimed that cutting the ISI to size would be perilous for Pakistan?,ISI is the bastion of Pakistan's strength and any attempt to cut it to size would be perilous for the country.
"What is the personal loyalty trend in bureaucracy replacing, according to the paragraph?",The personal loyalty trend in bureaucracy is replacing the hallmark of impartiality that was once associated with civil servants.
How did Shahbaz Sharif manage to get his administrative team back in action?,Shahbaz Sharif got his administrative team back in action by using his powers as the restored Punjab Chief Minister to re-appoint them.
Why is the watertight compartmentalization in bureaucracy dangerous?,"The watertight compartmentalization in bureaucracy is dangerous because it divides the bureaucracy into two irreconcilable groups and creates a trend of picking and choosing officers based on their loyalty instead of their merit, which is not good for the federation."
What is Obama's proposed surge in troops for Afghanistan?,Obama's proposed surge in troops is to bolster demoralized NATO forces in Afghanistan.
"Who perpetrated the attack on the Twin Towers, according to the millions that follow the ""philosophy to resist"" foreign forces?","According to millions that follow the ""philosophy to resist"" foreign forces, the attack on the Twin Towers was an inside job - orchestrated by the US government - and had no role played by AlQaeda."
Why has the army action in places like Fata and Swat been unsuccessful in putting down resistance against foreign forces?,"The army action in Fata and Swat was against an ""amorphous body"" or philosophy of resistance, which was labeled as AlQaeda by the Americans. No army, however well-equipped, succeeds against its own people - hence the lack of success in putting down the resistance."
What is the threat that is currently spreading throughout Pakistan and what are its implications?,"The threat is Talibanisation of their society, and it is rapidly spreading its tentacles throughout the country. It is threatening to tear away Pakistani way of life."
What is the reason for the current situation in Pakistan?,Pakistan's previous governments had embraced the Afghan War without fully appreciating the consequences. They had allowed terrorists and religious extremists to roam around in the country to swell the ranks of the people fighting in Afghanistan. Policy of using religion to fight the war was particularly successful given that the peoples understanding of Islam was and is still limited.
How can the threat of Talibanisation be tackled?,"One way to tackle the threat of Talibanisation is education and madrassahs schools colleges and universities to propagate the true teachings of Islam. Religious teachings must compulsorily be in translation form. Similarly, religious teachers must be licensed because wrong information in the hands of wrong people is dangerous. At the same time, no one should use this as an opportunity or issue to be antigovernment or a point scoring exercise. The people should come out in favor of the government and support it fully to apply the writ of law at whatever cost and punish those responsible irrespective of consequences."
Who is regarded as the perfect example of the old dastaan according to Pandit Daya Narain Chakbast?,Rajab Ali Baig Suroor's FasanaiAjaib c1825.
What does the disappearance of supernatural from the Urdu dastaan signify in the literature?,The point of transition in the literature from its premodern to the modern phase.
What led to the emergence of the South Asian man's cry of revolt?,The modern literature.
Who claimed responsibility for the Manawan Police Training Centre terrorist attack?,Baitullah Mehsud claimed responsibility for the attack.
What was the compromise formula to bring peace to the Swat valley?,A compromise formula of enforcement of NizameAdal brokered by Maulvi Fazlullah was implemented in the Swat valley.
What movement resulted in the reinstatement of deposed judges in Pakistan?,"The movement for the reinstatement of deposed judges, led by firebrand Aitzaz Ahsan and Ali Ahmad Kurd, resulted in the reinstatement of judges to pre-November 03, 2007 status."
What are some of the reasons why Pakistan's sovereignty seems to wither away?,"According to the paragraph, Pakistan's sovereignty is slipping away because it opted to become a frontline ally in the War on Terror, which puts it at greater risk of drone attacks, among other threats."
What is the writer's opinion on the US aid that Pakistan receives?,"The writer thinks that the US aid to Pakistan, which is linked to Pakistan's involvement in the War on Terror, is not worth the risk of losing the country's freedom and sovereignty."
What action does the writer suggest Pakistan should take to address the situation?,"The writer suggests that Pakistan should stop relying on borrowed money (i.e. US aid) and say no to it, as the situation is slipping out of Pakistan's timid control. The writer also suggests taking action quickly before it's too late."
What did Obama seek before the Turkish Grand Parliament?,Obama sought rapprochement with the Muslim world.
What did the Muslim world wait for despite the positive speech made by Obama?,The Muslim world waited for the action that Obama takes to redress the age-old grievances.
What are the changes that Obama needs to make to improve relations with the Muslim world?,"Obama needs to rectify the US mistakes, withdraw support from undemocratic regimes, respect the aspirations for democracy among the masses, dismantle Israel's illegal settlements, resolve differences with Iran peacefully and spend on rehabilitation and reconstruction in Iraq and Afghanistan."
Who did Bush consider the principal threat to US and its interests worldwide and who does Obama confer similar honors on?,"Bush considered Osama bin Laden as the principal threat, while Obama confers similar honors on Baitullah Mehsud."
What is the similarity between the pre-911 scenario and Obama's Afpak scenarios?,"Like Afghanistan in the pre-911 scenario, Pakistan today stands marked as the central threat and the likely origin of any 911 style attack on USA in the future."
Why has there been a growing trust deficit in US-Pak military cooperation?,Increasing Indian presence in Afghanistan is regarded as being against Pakistan's strategic interests and is a vital factor in the growing trust deficit in US-Pak military cooperation.
What was the Swat video all about?,It showed a Pashtun woman being whipped by holy warriors after the imposition of Shariah.
What was one of the main arguments against what happened in Swat?,It was that the video was faked to make the Shariah intolerable to those waging the War on Terror.
What was seen as a failure of the state in the Swat case?,The delay in ensuring the presence of the whipped woman before the Supreme Court was to be ascribed to the failure of the state.
"What did President Obama announce in his public address in Strasbourg, France?",President Obama emphasized that the war in Afghanistan would continue despite the change in presidencies.
What was President Obama's reason for escalating attacks on Afghanistan and Pakistan?,"President Obama seems to have adopted the same basic pretexts by Bush and all the other preceding US presidents to justify their neocolonialist actions, including the supposed threat by AlQaeda."
Who are the troika that is strategizing to build up a combined military force of India Pakistan and Afghanistan under US patronage to dissipate terrorism that has engulfed the region?,Gates-Mullen-Petraeus troika.
Who took notice of the video of the flogging incident and what did they do about it?,Chief Justice Iftikhar Muhammad Chaudhry took suo motu notice of the video and asked for reports from principal functionaries of the provincial and federal governments.
What are the two main faults of Pakistan that have placed it in the eye of the international storm of terrorism?,"The two main faults are the madrassahs that churn out zealots who carry out suicide attacks, and the fact that it has been criticized for harbouring AlQaeda fighters in its NWFP province."
What are the three questions that the Supreme Court proceedings should clarify about the incident?,"The Supreme Court proceedings should clarify when, where, and how the incident occurred; how Swat passed into the hands of the Taliban; and whether Pakistan is harbouring terrorists in the tribal area."
What challenges did President Obama face when he came into office?,President Obama faced formidable challenges both domestically and abroad when he came into office.
What approach did President Obama take to manage the fiscal crisis?,President Obama managed the fiscal crisis through his own stimulus plan as well as a multilateral approach recently agreed at the G20 meeting in London.
What was President Obama's stated position on pursuing the war in Afghanistan?,"President Obama entered the White House determined to pursue the conflict in Afghanistan, having stated repeatedly that he would reinforce US troops in Afghanistan and hinted at more muscular CIA covert operations drone attacks in the unacknowledged parallel war across the Pakistani border."
What is the PESA statement about?,The PESA statement is about the legacy of military dictators and their impact on various aspects of Pakistani society.
What do the exservicemen emphasize about General Musharraf?,The exservicemen emphasize that General Musharraf should not be given a safe exit and should face all charges and respond to all allegations of gross misconduct against him.
What is the appeal made by PESA at the end of the statement?,PESA appeals to the Government of Pakistan to enforce the rule of not participating in politics for two years after retirement if it also applies to General Musharraf and demands accountability for his actions and deeds.
What was the goal of the Obamas' European Odyssey?,The goal was to rebuild America's partnerships and restore America's image after several troubled years of decline.
What was the negative impact of the previous administration's approach to international cooperation?,"The previous administration's approach of neglect, arrogant unilateralism, and ideological recklessness left a hole and caused the world to become more volatile and dangerous."
"What did some US critics think of Obama's approach to international relations, and why were they criticized?","Some US critics believed Obama should have demanded more support from Europe and challenged Islam, but they were criticized for wanting to repeat the behavior that left America weak and isolated in the first place."
What does the Holy Quran say about the value of human life?,The Holy Quran equates the killing of one person with the killing of entire humanity and protects the life of one person with the protection of entire humanity.
Why are some peaceful areas of Pakistan now confronting the army and security forces?,"The author questions what revolution has struck these regions that they have turned against their country and started confronting the army and security forces and where the arms, ammunition, and expertise come from."
What is the author's main argument about establishing peace in Pakistan?,"The author argues that condemnation of terrorism is not sufficient for the establishment of peace. The real enemies of peace should be identified first, and national leadership including religious, political, and military need to act and act fast."
Who is General McKiernan and what was the purpose of his visit to Kandahar/Helmand?,General McKiernan is a US general known for his involvement in Afghanistan. He visited Kandahar/Helmand to reach out to tribesmen and apologize for past mistakes made by his troops.
What mistake did General McKiernan make during his speech?,"General McKiernan mistakenly implied that the Holy Quran is about the region he was visiting, when in fact it is about the whole universe and humanity."
What is the writer's opinion on the US occupation of Afghanistan?,The writer believes that the US occupation has caused damage to US goodwill in the area and that the use of airpower against an outgunned people could be a war crime. They suggest that atonement is the best way out of the situation.
Who suffers the most damage in conflict situations?,Civic life and civilian lives bear the brunt of devastation.
"What was Madeleine Albright's response to the death of 500,000 Iraqi children?",She stated that it was worth it.
What can Germany's recovery after World War II teach others?,"Formal education is not enough to overcome ignorance and arrogance, self-scrutiny and a culture of discipline are also necessary for self-correction."
What does the writer suggest the school administration should do in addition to the daily prayers?,The writer suggests that the school administration should integrate an hour-a-day social and civil work into the curriculum to give a meaningful impact to the daily prayers.
What is the writers opinion on Pakistan's education system?,"The writer believes that the school and educational system lacks innovation, change, and socio-intellectual variations."
What is the writers opinion on Pakistan's economic and political leadership?,The writer believes that Pakistan's economic and political leadership is stuck to grabbing American and Western aid in dollars as the only solution to its economic and social advancement and reform. The IMF insists that foreign investments are the sole viable means to Pakistani economic enhancement.
What were Pakistan's initial reasons for forming alliances with other countries during the Cold War?,Pakistan entered into alliances with friends in the early 50s due to growing concern about security and survival.
What has Pakistan's governance and leadership been like since its independence?,"Pakistan has struggled to fix the fundamentals of its governance and lacked direction, which has caused it to depend on other countries for help."
How has Pakistan been impacted by its involvement in global issues like the War on Terror?,"Pakistan has faced a heavy toll on its socio-economic environment due to its involvement in the War on Terror, resulting in violence, instability, export stagnation, investor hesitation, and a concomitant law and order situation."
What does the promulgation of the NizamiAdl Regulation in Malakand Division reflect?,It reflects an abject capitulation by the state before the diktat of the arms brandishing militants.
What was the rationale to introduce the Regulation in the first place?,"It's unclear what the rationale was to introduce the Regulation in the first place, thus creating yet another level of parallel legal recourse and sovereignty in the country."
What are the symptoms of the marauding tentacles of this demon called militancy?,The symptoms are already there for us to see. Everyone is living in palpable fear at the thought of what this band of militants would do next.
"According to T.S. Eliot, where do we go after living in a world of insanity?",T.S. Eliot believes that one goes somewhere on the other side of despair.
"Whose responsibility falls on the shoulders of the stakeholders, namely the state, according to the author?","The responsibility of major successes and failures falls on the shoulders of the stakeholders, namely the state."
What important lesson does the author hope readers learn about self-governance?,The author hopes readers learn that self-help is the basis of good self-governance.
What is the situation in Pakistan according to the author?,The situation in Pakistan has dramatically changed for the better if you are a Taliban supporter and for the worse if you are not.
What is the Nizami Adl System of Justice?,"The Talibans' Nizami Adl System of Justice was approved by Parliament and signed into law by the president and the provincial government of the Frontier, against much American pressure."
Why does the author believe mental liberation is crucial for Pakistan?,"The biggest primary cancer that has been consuming Pakistan since 1947 is mental slavery. Only after mental liberation, the author believes Pakistan can arrive at a consensus on how they wish to live their lives and then strive for it together with a tunnel vision."
What was President Zardari's stance on drone attacks during his second address to the National Assembly and the Senate?,President Zardari reiterated that Pakistan would not tolerate the violation of its sovereignty.
What is the negative fallout of drone strikes according to the paragraph?,"The backlash of drone attacks is that they provide the Taliban with a recruitment windfall, and the attacks push the militants into major cities where terrorist-related slaughter has become a nightmare."
What is Maulana Sufi Muhammad's stance on the crimes perpetrated by the extremists in Swat?,"According to Maulana Sufi Muhammad, those who perpetrated these crimes stand indemnified and cannot be brought before the Qazi courts."
Who is demanding that Mian Nawaz Sharif apologizes to the nation and why?,Ch Shujaat Hussain is demanding that Mian Nawaz Sharif apologizes to the nation for appointing General Musharraf as army chief by letting him supersede many senior generals.
What is the role of House of Gujrat in relation to General Musharraf's appointment as army chief?,The House of Gujrat helped the dictator perpetuate his rule in the past and played second fiddle to the country's most repressive dictatorship. They were also responsible for convincing their party colleagues that since the Sharifs had no future in politics there was no point in being loyal to them.
What is CM Gandapur demanding?,CM Gandapur is demanding a judicial probe into the cipher case. There's no further information given on what the cipher case is in the paragraph.
What are some challenges facing Pakistan?,Pakistan is currently facing unprecedented challenges that have left the average citizen confused and uncertain about the future.
Who is spending most of their time in Islamabad?,"The special envoy of the US president and the chairman of joint chiefs of staff have almost made Islamabad their second home, spending most of their time with the president, prime minister, and COAS."
What does the writer believe is the remedy to Pakistan's problems?,"The writer believes that the only remedy lies in the introduction of good governance, which lies at the heart of all Pakistan's problems."
Who polled Democrats and Republicans before the 2000 Supreme Court decision?,John Zogby polled Democrats and Republicans before the 2000 Supreme Court decision.
What was John Zogby's concern if Gore was declared the winner in 2000?,John Zogby was concerned that Republicans would mount a rather strident opposition and obstruct Gore's presidency if he was declared the winner in 2000.
What was the finding of the Pew poll regarding support for President Obama?,The Pew poll found a gap of 61 points between Republican and Democratic approval ratings of President Obama's job performance.
"What is the UNCAC, and how does the new Accountability Act violate it?","awareness and prevention - and by reducing the scope of anti-corruption efforts to only public office holders, while UNCAC requires a wide scope of accountability covering both public and private sectors."
Who recently demanded more effort from Pakistan to eliminate the Taliban?,"General David McKiernan, US commander of 70,000 foreign troops in Afghanistan."
"Why do people in Pakistan consider the demand to ""do more"" a cruel joke?","Because the country has already suffered thousands of casualties and terrorist attacks, and it cannot pursue a ruthless military operation against its own people."
Why are a vast majority of Pakistanis opposed to the presence of US forces in the region?,"Because they want them to leave, as shown by various opinion polls, and the growing phenomenon of militancy is putting pressure on the Pakistan government."
What is the Friends of Democratic Pakistan (FoDP) and what was discussed at their meeting in Tokyo?,"Answer: The FoDP is a group of countries that are providing economic assistance to Pakistan. At their meeting in Tokyo, they discussed cooperation in fields such as energy, agriculture, and information technology."
How much money was pledged by the FoDP to Pakistan and when will it be realized?,Answer: The FoDP pledged 528 billion which will be realized over the next two years.
What should the FoDP be doing to help Pakistan instead of providing cash aid with strings attached?,Answer: The FoDP should be helping Pakistan stand on its own feet by providing trade opportunities and stressing upon skill development for the average Pakistanis.
What was the outcome of the donor countries meeting in Tokyo last Friday?,The donor countries made a commitment of 5 billion to help Pakistan meet its challenges.
What does Ambassador Holbrooke believe about the situation in AfPak?,Holbrooke believes that the fight will be a long haul and that Five million dollars are not enough to solve the problem.
What is the concern about the drone strikes in the area?,"The drone strikes are seen as being counterproductive as they result in unintended civilian casualties and create bad blood against the killers, and could radicalize Muslims unless justice is done."
What is the role of police in society?,"Police is responsible for law enforcement in society and protecting person and property, giving it a sense of discipline."
What are some reasons for corruption in the police force?,Low pay and insufficient compensation packages are major reasons for corruption in the police force.
What historic steps have been taken towards establishing the rule of law in Pakistan?,"The increase in pay of the Punjab police and the NWFP police salary raise, announced by their respective chief ministers, are historic steps towards establishing the rule of law in Pakistan."
What was the purpose of the Tokyo donor conference?,The purpose of the Tokyo donor conference was to provide financial assistance to Pakistan to overcome its financial and economic woes due to its role as a frontline state against terrorism.
How much financial assistance was pledged to Pakistan in the Tokyo donor conference?,Donors pledged US$528 billion assistance to Pakistan over the next two years by 2011 to overcome its financial and economic woes.
What was the major objective of the conference?,"The major objective of the conference was to stabilize Pakistan as a means to rebuild Afghanistan as it was believed that without stability in Pakistan, there is no stability in Afghanistan either."
What is the status of the Kalabagh Dam?,The Kalabagh Dam is still alive but lying on the death bed.
Why is the construction of the Kalabagh Dam opposed by Sindh?,Sindh has opposed the construction of the dam supposedly more on political grounds than on technical and other grounds.
What is the danger looming on the horizon if the construction of the dam does not happen?,"The danger looming on the horizon is that Pakistan will face an Eithopia-like situation, and its ever-growing population will be at stake if the Kalabagh Dam is not constructed."
What is the concern of US officials in Washington regarding Pakistan?,"They are concerned that Pakistan is on course to become an Islamist state, disintegrating into fiefdoms controlled by Islamist warlords and terrorists."
Why is Pakistan seen as a greater threat to the US than Afghanistan's terrorist haven did before 9/11?,"Pakistan's instability is far more dangerous for the world because it will not be containable. If instability in Pakistan grows in the coming months and years, it can easily spread around the region and become a bigger danger for the region and for the world at large."
What is the proposed solution to combat terrorism in Pakistan?,"Terrorism cannot be contained through military operations alone. To eliminate this evil, the root causes must be addressed, including strengthening governance and rule of law, creating economic opportunities, and exploring political negotiations."
Who are the Taliban?,"The Taliban is not a monolith; it is a polyglot network of Afghan and Pakistani fighters, some of whom are criminals who have taken the name of Taliban as camouflage."
What is the significance of the Sachar Report in Indian politics?,"The Sachar Report is a high powered report initiated by the Congress party that recommended measures to improve the living conditions of Muslims in India, which has become central to the Indian Muslim community and is often quoted to voice their grievances."
Why are there a significant number of new Muslim political parties in the run for seats in the current Indian elections?,"There are over 25 Muslim political parties running in the current Indian elections to erode the presumed vote bank of the Congress Party and to focus on the safety and security of all communities, especially minorities, including Muslims."
"What is the opinion of Congress Party's Chief of the Minority Cell, Imranur Rehman Kidwai, on Muslim parties running in the Indian elections?",Imranur Rehman Kidwai believes that Muslim parties have traditionally voted for Congress and will continue to do so as they know only a majority party like Congress with secular credentials can empower them. He also dismissed the idea that there is any kind of insecurity among Muslim youth.
What is the reason for the writer's concern about the fate of Pakistan?,The writer is surrounded by internal and external challenges and is deeply concerned about the fate of the nation.
What is the writer's recommendation to the federal Education Minister Bijarani?,The writer strongly recommends that the Education Minister urgently consider formulating an education policy for the next 20 years to be called Pakistan's National Education Policy 2030.
How does the writer believe the War On Terror can be won?,"The writer believes that the War On Terror cannot be won through drone attacks but can only be won through winning the hearts of the people, which can be achieved through knowledge."
What is the current situation in Pakistan according to this paragraph?,"The current situation in Pakistan is nightmarish and scary, with the Taliban moving freely in the country and coming closer to the heart of the nation, which has sparked fear among the people."
Why are the people worried about the Swat agreement?,"The Swat agreement has raised concerns among the people and politicians due to the increasing assertiveness of Maulana Sufi Muhammad and the Taliban, who have not been successfully controlled by the NWFP government or reined in by the army. The situation has led to doubts about the whole scheme of things included in the Swat agreement and its ramifications for the rest of Pakistan."
Why has the public and political circles had second thoughts about the Swat agreement?,"The views of Maulana Sufi Muhammad, who started giving edicts every other day, have raised many an eyebrow. His declaration that the country's courts are unIslamic and views on democracy added to the worries of people watching the consequences of the Swat agreement. The recent incident of the Taliban and Sufi Muhammad's associates lashing a young girl for being spotted in the company of her father-in-law, which was justified by the spokesman of Tehrik NifaziShariatiMuhammadi as within the ambit of Shariah, further evaporated the euphoria that the Swat deal generated not before long."
What were the findings of the Zogby International survey?,"The survey found that the American electorate is deeply divided on issues related to the Israeli-Palestinian conflict, with voters who backed Barack Obama and John McCain holding dramatically divergent views of the conflict, what should be done to solve it, and the role the US ought to play."
What was the attitude of Obama voters towards US-Israeli relations?,"Half of Obama voters believe the US is weakened by its support for Israel, with only one in five seeing the US as strengthened. Moreover, only 7% of Obama voters say Israel is more important to the US, while 68% say both Israel and the Arabs are of equal importance."
What were the differences between the Obama and McCain voters with regards to solving final status issues?,"Obama voters agree that Palestinians have the right of return, prefer a divided Jerusalem with two capitals, and believe Israel should remove its settlements from occupied Palestinian lands. On the other hand, McCain voters disagree with these positions."
What are the speculations and concerns being raised about Pakistan in the international media?,"Speculations are raging about the likelihood of Islamabad being overrun by extremists and that Talibanisation will punch Pakistan out before long, leading to a civil war. Concerns have also been raised about the threat of Pakistan's nukes falling into the hands of extremists."
How does the writer believe that Pakistan can counter the threat of Talibanisation?,"Pakistan possesses well-built civilian and military institutions that are capable enough to put a spoke in the wheels of any such threat. Pakistan has also got a vibrant civil society and population which has always aspired for democratic virtues and not for deadly extremism. The morale of its troops is high, and they are trained enough to counter the Taliban factor and defend the country against any existential threat."
What message is the writer trying to convey to the international arbiters?,The arbiters should not fall prey to the grotesque lobbying of anti-Pakistan powers. They should opt for their own judgment as prudent arbiters don't judge a country by that which the country's enemies say about it.
What happened in Balochistan after the post-Musharraf democratic period?,"The chronic sense of deprivation and frustration were not addressed by the government, leading to protest marches and strikes in far-flung areas of the province."
What was the highlight of Baloch urgency during the closed-door Senate session?,"The government had not addressed the real issues of Balochistan, and the accusation of foreign involvement desired more evidence."
What are the six suggested remedies to address the situation in Balochistan?,"Convening an all-party conference, ceasing intelligence agencies' activities, removing the Concurrent List from the constitution, making the Senate a more powerful legislative body, providing resources through the NFC award, and involving the people in massive developmental projects."
What did General Kayani admit during an operational meeting of military top brass at the GHQ?,General Kayani admitted that doubts were being voiced about the intent and capability of the army to defeat the militants.
Why had doubts crept in and why was the army being accused of indifference to the situation in Swat?,"The situation in Swat has taken a turn that detractors of the Peace Deal are crying foul, and harbingers of doom and gloom are adding to the despondency through stories that the Taliban are only a 100 kilometres away from Islamabad."
What is the role of the media in disseminating the strategy to thwart the perils of extremism facing Pakistan?,"The media plays an essential role in the dissemination of this strategy to the people and the world at large, and perhaps our countrymen have been under the yoke of army-rule far too long and they look to the GHQ for reassurance in moments of national crisis rather than the Parliament."
"Who were QuaidiAzam and Allama Iqbal, and what was their role in the creation of Pakistan?",QuaidiAzam and Allama Iqbal were two icons whose vision and historic political struggle mobilised the Muslims of India to win the battle for Pakistan in the face of opposition from Hindu majority for Akhand Bharat on the one hand and the obscurantist Islamic political elements who wanted a theocratic Muslim State.
How did the civilian and military rulers of Pakistan fail to keep the country intact?,The civilian and military rulers of Pakistan failed to keep it in tact and lost its Eastern half in only 25 years after its birth because of their myopic vision and gross misrule.
"What were the teachings of Quran, QuaidiAzam, and Allama Iqbal that have been forgotten in Pakistan?","The Islamic values of piety, hardwork, honesty, austerity, and devotion to duty taught by Quran, QuaidiAzam, and Allama Iqbal have all been forgotten in Pakistan, and the government, educational institutions, and media are not bothered to preach these values."
Who are the two fundamentalist groups Pakistan is squeezed between?,Pakistan is squeezed between the United States and the Taliban.
What do the United States and the Taliban believe in?,They believe in imposing their doctrines through violent means.
What does Pakistan need to come out of the squeeze it has put itself in?,"Pakistan needs a federal state structure, democratic governance, a fresh set of laws, and a foreign policy change which removes the stigma of being a client state of the USA."
What is appeasement?,Appeasement is defined as the policy of giving in to the demands of a hostile or aggressive power in an attempt to keep the peace.
Does appeasement work as intended?,"The paragraph suggests that appeasement may not work as intended, citing examples from Pakistan's history where giving in to pressure did not save regimes from toppling."
What is the real threat to a nation?,"According to the paragraph, the greater threat to a nation may come from ruling elites who abuse public trust and perpetuate themselves and their kith and kin in power, worshipping the gods of greed and proving their unfitness to lead and strive for the greater good of the country."
What did President Obama warn Pakistan about in his strategic plan?,President Obama warned Pakistan to demonstrate commitment in rooting out AlQaeda and violent extremists in their borders as the US' patience was wearing thin.
What did General Karl Eikenberry claim about the Pakistan army and ISI's relationship with the Taliban?,"General Karl Eikenberry claimed that the Pakistan army and ISI have had a very ambiguous relationship with the Taliban over the last 15 years, and some may still support them."
What did Richard Holbrooke say about investigating the ISI?,"Richard Holbrooke, the US special envoy of the region, said that investigating the ISI was the most important issue of all, and that the US cannot succeed if the CIA and ISI do not trust each other."
What was the impression of the president according to one journalist?,"According to an eminent journalist, he found the president a totally different person compared to his earlier impressions of him."
What is the main challenge faced by President Zardari in the AfPak summit?,The foremost challenge for President Zardari in this situation is not what they are required to do for others interests; it is what they ought to do to serve their own national interests and to safeguard their sovereign independence and national dignity.
What is John Kerry's opinion on Obama's AfPak plan?,Senate Foreign Relations Committee Chairman John Kerry...believes that Obamas AfPak Plan is not a real strategy for Pakistan.
"Why did the army carry out a military operation in Dir Buner and other adjoining areas, and why is the writer critical of this move?",The army carried out a military operation in these areas to flush out militants.
"What are the possible outcomes of the latest military operation against militants, according to the writer?","If the operation is called off, it could lead to swift advances by the militant hordes and the demise of a free and progressive Pakistan."
What is the writer's opinion regarding the current state of Pakistan and its leadership?,"According to the writer, the state of Pakistan is drained of hope, and its people are living in the grip of fear and despondency."
What punishment did a jirga order for a woman and her parents seeking a divorce?,"A jirga ordered that the woman's ears, lips, and nose be cut off for seeking a divorce on grounds of torture by her husband."
What is the author's opinion on the jirga system and its barbaric practices?,"The author is strongly against the jirga system and its legalised barbarity, which is no less horrendous than the practices of the Taliban."
What did Lord Macaulay propose in his address about the Indian education system?,"Lord Macaulay proposed the replacement of the Indian education system and culture with an English one, and the formation of a class of people who are Indian in blood and colour, but English in taste, opinions, morals, and intellect."
What is Dr. Ijaz Ahsan's opinion on the current state of Pakistan?,Dr. Ijaz Ahsan believes that Pakistanis need to choose whether they want Muhammad Ali Jinnah's Pakistan or that of the Taliban.
What is the main problem with Pakistan's relationship with the US?,"Pakistanis live in their own world with only their particular narrative, while the US policymaking functions differently."
What does the writer suggest Pakistan needs to do in order to develop a partnership with the US?,Pakistan needs to work on changing its national narrative in relation to the United States of America and fully realize that the war being waged in the north is very much its own war.
Who is President Zardari on his way to meet in Washington?,President Obama
What is the US government's priority in the region where Pakistan is located?,"The region is top US priority due to political, economic, social, sectarian, and security challenges, as well as the rising tide of terrorism."
What did General Petraeus say about the Pakistan government's survival?,"The next two weeks are critical in determining whether the Pakistan government will survive, according to FOX NEWS."
What is the Naxal movement and why are they disrupting the Indian elections?,"The Naxal movement is a 40-year old Maoist insurgency that poses a serious challenge to authorities in India, and they are disrupting the elections by attacking polling booths and calling for a boycott of the polls."
How does the Indian government currently tackle the problem of Naxalism?,"The Indian government treats Naxalism as a law and order problem, using force to crush the movement and implementing draconian laws that threaten fundamental freedoms and human rights. They fail to address the real causes of Naxalism, such as poverty and social oppression."
What is the correlation between extremism and poverty in India?,"There is a direct correlation between extremism and poverty in India. Historical wrongs and contemporary inequalities are responsible for Naxal violence, and the social, political, economic, and cultural discrimination faced by scheduled castes and scheduled tribes has resulted in discontented people finding succor in immediate justice provided by the Naxalites."
What is the ongoing war that is mentioned in the paragraph?,The ongoing war is the Anglo-American so-called war on terrorism.
What is the proposed objective of the May 6-7 Afghanistan-Pakistan-US summit in Washington DC?,The proposed objective of the summit is to seek unanimous approval of Obama's Afghanistan-Pakistan policy of escalating war in both countries.
Who should be invited to a different Peoples Summit according to the writer?,"Civil society spokespersons, non-party affiliated academics, leaders of the lawyers movement in Pakistan, pro-democracy former army officers, journalists, policy analysts, members of socio-religious organizations, social workers, etc."
When was the State of Commerce report supposed to be produced and what was its purpose?,The State of Commerce report was supposed to be produced annually four years ago and its purpose was to provide a supporting policy framework for domestic commerce.
What were the two sections and 11 chapters that the State of Commerce report was supposed to consist of?,"The State of Commerce report was supposed to consist of two sections and 11 chapters, with the first section covering external trade and the second section covering domestic commerce."
Why is it important for the Ministry of Commerce to produce the State of Commerce report?,"It is important for the Ministry of Commerce to produce the State of Commerce report in order to understand the impediments to commerce in the country and to identify areas for reform, particularly in the neglected area of domestic commerce, which is key to economic growth and reducing poverty."
